ID,Método,Nome do Método (from Método),Passos,Nome do Passo,Descrição,Resultado
11,M001,Photovoice,Passo 11,Sistematização de Achados,"O encerramento do projeto consiste em sistematizar os aprendizados em um relatório estruturado. O foco deve estar em insights, padrões identificados, tensões reveladas e descobertas relevantes para a tomada de decisão.

As imagens devem ser analisadas em conjunto com as narrativas produzidas. O relatório não descreve apenas a atividade; ele transforma evidências visuais em conhecimento acionável.

Bom exemplo:
Relatório que apresenta categorias, evidências visuais e implicações para política pública.

Mau exemplo:
Relatório que apenas descreve a atividade realizada.

Essa etapa corresponde ao fechamento formal do projeto.","Relatório final entregue, com evidências visuais organizadas, insights estruturados e implicações para decisão explicitadas."
29,M002,Crowdmapping,Passo 1,Enquadramento do Mapeamento,"Todo processo de Crowdmapping começa pela definição do problema, do território e do tipo de evidência que se deseja coletar. Essa etapa corresponde à preparação estratégica e existe para garantir que o mapa alimente hipóteses, critérios de materialidade, recortes territoriais e priorização por risco. O que se deseja alcançar é que o mapeamento produja evidências para a auditoria. Já o que se deseja evitar, é a utilização da ferramenta como um repositório de reclamações sem uso ou efeitos práticos.

Para isso, é necessário que você defina a pergunta orientadora e conecte a pergunta a um uso objetivo na auditoria.

Faça as seguintes perguntas:
• Quais hipóteses precisam ser testadas?
• Quais riscos serão observados?
• Quais recortes territoriais precisam ser comparados?

Em seguida, traduza as pergunta em unidades mapeáveis. São elas:

• Ponto (um local específico):
Exemplo: A intersecção de duas ruas;

• Rota (um trajeto):
Exemplo: O trajeto de alunos de uma escola até suas casas.

• Área (um perímetro aproximado):
Exemplo: o perímetro de 10km de realização de uma obra auditada.


Nota de Atenção:
Esse é um método que funciona como um projeto, então ele precisa ser planejado como ciclo. Essa etapa pode ser considerada o ponto de partida (kick-off) do método.","Pergunta orientadora validada, território e escopo definidos e tipo de contribuição (se vai ser um ponto, uma rota ou área) georreferenciada especificado."
30,M002,Crowdmapping,Passo 2,"Governança, Riscos e Salvaguardas (LGPD/privacidade)","Com o escopo definido, formalize regras de governança e segurança antes de coletar dados. Essa etapa existe porque a geolocalização pode expor pessoas e locais e porque a instituição precisa sustentar moderação, curadoria e resposta aos achados. 


O que precisa ser determinado: 

• Dados que não podem ser coletados, como dados pessoais desnecessários, pontos que exponham pessoas vulneráveis, localização de situações com risco de retaliação;
• O nível de precisão permitido: se será um ponto exato ou área aproximada; 
• Quem terá acesso aos dados brutos, por quanto tempo os dados serão mantidos e como será feito o descarte. 

Envolva a unidade jurídica, de conformidade ou demais atores de governança de dados para auxiliar no processo decisório. 

Nota de Atenção: 

Caso o tema envolva risco elevado, reduza a possibilidade de reidentificação: limite precisão geográfica, evite campos livres que incentivem identificação e planeje publicação restrita. Inclua aviso de finalidade e termos de participação/consentimento compatíveis com o desenho do instrumento.","Regras de coleta e privacidade definidas, governança operacional estabelecida e termos/avisos padronizados."
31,M002,Crowdmapping,Passo 3,Taxonomia e Regras de Qualidade do Dado,"Antes de construir o formulário, defina a taxonomia (categorias e subcategorias) e as regras mínimas que tornam contribuições comparáveis. Essa etapa reduz heterogeneidade, melhora rastreabilidade e evita que a análise vire interpretação caso a caso.

Crie um dicionário de dados simples com: 
• Campos obrigatórios;
• Campos opcionais e exemplos de preenchimento;
• Padronize escalas de impacto (por exemplo: se irá mensurar em baixa/média/alta ou em avaliações de 1 a 10);
• Estabeleça o mínimo necessário para aceitar uma contribuição (por exemplo: categoria + descrição curta + marcação geográfica + nível de impacto).

Na construção da taxonomia, observe exemplos de taxonomia suficientes e insuficientes: 

Taxonomia Suficiente:
• Categoria: Iluminação pública. Subcategoria: poste apagado / área escura recorrente.
• Categoria: Calçada. Subcategoria: buraco / ausência de rampa /obstáculo.
• Categoria: Transporte Público. Subcategoria: ponto sem cobertura / atraso recorrente / lotação.

Taxonomia insuficiente: 
• Categoria: Infraestrutura (muito genérico) Subcategoria: Calçada (não fica claro qual é o problema na calçada) 
• Categoria: Reclamações (induz o usuário a confundir com um canal passivo de reclamações); Subcategoria: Transporte Público (não fica claro qual é o problema no transporte público) 

Nota de Atenção: 
Se houver dúvida entre muitas categorias e poucas categorias, comece com poucas categorias claras e registre que a taxonomia pode ser revisada após o piloto, mantendo registro de mudança (o que mudou e por quê).","Taxonomia definida, dicionário de dados concluído e critérios mínimos de qualidade e preenchimento estabelecidos."
32,M002,Crowdmapping,Passo 4,Desenho do Instrumento (Mapa + Formulário),"Com a taxonomia pronta, desenhe o instrumento de coleta: o mapa e o formulário. Essa etapa garante que qualquer pessoa consiga contribuir com facilidade e que as respostas possam ser analisadas. Baixo atrito significa que a pessoa consegue registrar uma ocorrência no mapa sem travar no meio do caminho, sem precisar de treinamento e sem gastar muito tempo. Na prática, isso quer dizer poucas etapas, linguagem simples e campos fáceis de preencher.

Implemente o tipo de marcação: 

- O ponto/rota/área;
- Campos estruturados (categoria, gravidade, data aproximada) e um campo de relato curto;
- Inclua instruções na tela e mensagens de erro simples, dizendo exatamente o que falta para concluir o envio.

Exemplo de bom desenho em um crowdmapping de transporte público: 
•Problema no ponto de ônibus: a pessoa abre o mapa, escolhe “Ponto”, toca no local, marca “Atraso recorrente”, indica frequência (baixa/média/alta), período (manhã/tarde/noite) e escreve uma frase curta (ex.: “Linha 310 atrasa 20–30 min quase todo dia entre 7h e 8h”). Envia.

•Problema na linha/rota: a pessoa escolhe “Rota”, desenha o trecho no mapa, marca “Atraso recorrente”, indica frequência (diário/semana) e escreve uma frase curta (ex.: “Do Terminal A à Av. X, a linha 310 perde 15–25 min todo dia”). Envia.

A plataforma mostra uma confirmação simples: “Contribuição recebida. Obrigado.” 

Exemplo de desenho ineficiente: 
• obriga criar conta antes de ver o mapa;

• pede formulário longo e dados que não são necessários (nome, CPF, endereço, profissão);

• usa categorias confusas;

• exige digitar coordenadas em vez de tocar no mapa;

• pede texto longo sem orientar o que escrever;

• no fim, dá erro genérico (“falha no envio”) sem explicar o que faltou.

Nota de Atenção: 

Se fizer sentido, permita visualização de resultados agregados, para promover transparência sem expor informações sensíveis.

Caso exista risco de exclusão digital, planeje desde já uma estratégia híbrida (pontos de apoio, contribuição assistida e mobilização mediada). O Crowdmapping não deve ser aberto ao público sem um plano de participação que reduza barreiras de acesso.","Protótipo funcional do mapa e formulário concluído, com campos, instruções e regras de submissão implementadas."
33,M002,Crowdmapping,Passo 5,Teste Alpha (Núcleo de Desenho e Validação),"Antes de abrir ao público, execute um teste controlado com um núcleo pequeno. 

Como definir o núcleo de testagem: 
Para a primeira versão, o núcleo deve ser composto de 5-20 agentes do próprio TCU. Não é recomendada a composição do núcleo por usuárias reais na primeira versão. 


Essa etapa existe para identificar problemas do instrumento: campos confusos, categorias inadequadas, dificuldade de marcar o local e instruções insuficientes.

Peça que cada pessoa do núcleo faça contribuições reais (marcando pontos/rotas/áreas) e observe onde travam. Registre feedback estruturado e liste ajustes por prioridade.

Se as contribuições estiverem fora do tema, ajuste primeiro instruções, glossário e taxonomia. Se o problema for operacional, ajuste interface e fluxo de submissão. Registre o que foi alterado e por quê.",Teste alpha concluído e lista de ajustes priorizados registrada e aprovada.
34,M002,Crowdmapping,Passo 6,Piloto Beta (Coleta Limitada com Usuários Reais),"Após o alpha (a primeira versão), execute um piloto com usuários reais em escala limitada e prazo curto. Essa etapa testa a operação: suporte, moderação, qualidade do dado e estabilidade do instrumento.

Acompanhe diariamente volume e qualidade e registre erros recorrentes, duplicidades e entradas sensíveis. Ajuste o instrumento durante o piloto e registre cada mudança (data, motivo e efeito esperado).

Se for necessário ampliar acesso, use apoio mediado (instituições locais, escolas, organizações territoriais) para orientar participação e reduzir contribuições inconsistentes.","Piloto beta concluído, instrumento estabilizado e operação (suporte/moderação) testada."
35,M002,Crowdmapping,Passo 7,Mobilização e Participação Híbrida,"Com o instrumento pronto, implemente a mobilização. Essa etapa existe porque o Crowdmapping precisa de massa crítica e porque há vieses de autoseleção e barreiras de acesso.

Defina público-alvo, canais, parceiros territoriais, calendário e materiais simples: como participar, o que não enviar, para que serve e o que acontecerá depois.

Caso haja exclusão digital provável, execute participação híbrida: pontos de apoio presenciais, contribuição assistida e facilitação mediada por parceiros locais. Registre a estratégia de mitigação (o que foi feito, onde e com qual público).

Exemplo: 
Se o Crowdmapping envolve um público específico, tal como estudantes de escola pública do nível médio de uma determinada região, estabelece parcerias com as instituições de ensino, os professores, bem como outros atores locais pertinentes, e busque apoio em rodar as pesquisas com cidadãs que não possuam acesso aos recursos digitais necessários para o mapeamento. ",Plano de mobilização executado e estratégia híbrida definida e operacionalizada quando necessária.
36,M002,Crowdmapping,Passo 8,Coleta Pública e Acompanhamento Operacional,"Inicie a coleta pública com prazo claro e regras visíveis no próprio instrumento. Essa etapa corresponde à execução e ao monitoramento e controle do projeto.

Estabeleça rotinas: checagem diária do volume e da qualidade, canal de suporte, registro de incidentes, backup e exportação periódica.

Se o volume estiver baixo, ajuste mobilização e pontos de apoio. Se o volume estiver alto, reforce moderação e regras de curadoria para evitar acúmulo de dados sem tratamento. Registre decisões e mudanças durante a coleta.",Base de contribuições construída e rotina de monitoramento e suporte implementada com registros operacionais.
37,M002,Crowdmapping,Passo 9 ,Moderação de Entrada,"Após a coleta, faça a moderação de entrada. Essa etapa existe para impedir que o banco receba contribuições que não podem ser usadas por risco, falta de sentido ou violação de regra.

Defina regras simples de entra / não entra: aceitar apenas contribuições com marcação no mapa e informação mínima (categoria e descrição curta), e bloquear ou ocultar contribuições com dados pessoais desnecessários ou identificação de pessoas (nome, telefone, placa, foto identificável), ou com geolocalização sensível que possa expor alguém.

Exemplo: um usuário envia “o motorista João da linha 310 é sempre atrasado, placa XXX-0000”. Essa contribuição não deve ficar pública nem entrar como está. A ação correta é ocultar os identificadores e manter apenas o dado operacional útil: linha 310, local/trecho, horário e atraso observado. Registre que houve remoção de identificadores por regra de privacidade.",Base moderada com regras de qualidade e  controles de privacidade aplicados.
38,M002,Crowdmapping,Passo 10,Curadoria e Limpeza dos Dados,"Depois da triagem, faça a curadoria para padronizar a base e reduzir ruído. Essa etapa existe porque muitas pessoas descrevem o mesmo problema de formas diferentes, e isso precisa virar um banco comparável.

Aplique regras objetivas e sempre do mesmo jeito: remover ou marcar duplicatas, marcar entradas incompletas, corrigir categoria quando estiver claramente errada e registrar toda intervenção (o que mudou, quando e por qual regra). O objetivo é que duas pessoas diferentes, aplicando as mesmas regras, cheguem a resultados parecidos.

Exemplo hipotético:
• Categoria errada: registro marcado como “Segurança”, mas o texto diz “ônibus não para aqui porque tem buraco enorme na rua”. Ação: recategorizar para “Infraestrutura viária” (ou equivalente na sua taxonomia) e registrar a correção.
• Incompleto: ponto marcado no mapa sem categoria e sem texto. Ação: marcar como incompleto e deixar fora das análises principais; se houver canal, pedir complementação ao participante.",Regras de curadoria registradas e aplicadas.
39,M002,Crowdmapping,Passo 11,Validação por amostras,"Depois da curadoria, faça validação por amostras. Essa etapa existe para reduzir risco nos achados que vão orientar priorização e decisões. A validação não precisa cobrir tudo; ela precisa cobrir o que é mais relevante.

Selecione uma amostra baseada em risco: por exemplo, os 10 pontos de ônibus e os 5 trechos de linha com maior concentração de relatos de atraso. Para cada item selecionado, confirme com pelo menos uma fonte adicional.

Exemplo hipotético: 
•o mapa mostra concentração de relatos de atraso da linha 310 entre o Terminal A e a Av. X, principalmente entre 7h e 8h. Valide assim:
• inspeção rápida em campo em dois dias úteis nesse horário; 
• verificação documental (registros internos de operação, relatórios de pontualidade, chamados de atendimento);
• cruzamento com bases oficiais (itinerário cadastrado, localização oficial de paradas).

Como validar os achados? 
Se as fontes oficiais convergirem, trate como achado forte. Se divergirem, registre a divergência e defina o próximo passo (nova coleta, ajuste de hipótese ou recorte territorial mais específico).",Dados validados. 
40,M002,Crowdmapping,Passo 12,Análise Espacial e Síntese de Achados,"Com a base curada, produza achados que respondam ao objetivo do projeto e que possam orientar priorização, recortes territoriais e amostragem baseada em risco, com triangulação. Como este passo é grande, execute em subpassos, sempre registrando filtros e critérios.

Preparação da análise: 
defina quais categorias entram, qual período entra e qual recorte territorial entra. Exporte a base em formato analisável (CSV/GeoJSON) e registre a versão do banco usada.


Identificar padrões espaciais: produza mapas e contagens simples e auditáveis. Identifique hotspots (área de alta concentração) ou mapas de calor (heatmaps) referentes aos pontos/rotas/áreas coletados. 


Construir lista priorizada e recortes: gere uma lista priorizada de pontos e rotas e defina recortes para aprofundamento (por exemplo: top 10 áreas com maior concentração e top 5 rotas críticas). 

Definir amostragem baseada em risco: use a lista priorizada para escolher onde inspecionar, onde solicitar documentos e quais unidades/serviços comparar. A amostra deve ser justificável: por que esses locais entram primeiro e quais riscos isso cobre.

Triangular (quando necessário): se o mapa indicar concentração de postes apagados em 3 quadras, triangule com ordens de serviço/manutenção, chamados de ouvidoria e inspeção por amostra (visita rápida em 5 pontos). Se as fontes convergirem, o achado ganha força e vira recomendação e base para aprofundamento. Se divergirem, registre a divergência e proponha coleta adicional ou ajuste de hipótese.","Mapa com camadas e sínteses produzido, lista priorizada gerada e recomendações formuladas com base nos dados."
41,M002,Crowdmapping,Passo 13,"Devolutiva, Resposta Institucional e Encerramento","Finalize com devolutiva e resposta institucional. Essa etapa existe para reduzir frustração e para vincular participação a encaminhamentos reais. Planeje devolutiva em dois níveis: devolutiva pública (síntese sem expor dados sensíveis) e devolutiva interna (transforme os achados em uma ação de auditoria que seja transformativa). Registre explicitamente o que será feito com base nos achados e o que não será feito, com justificativa. Opcionalmente, planeje um segundo ciclo após intervenções para medir melhoria e ajustar o instrumento. ","Devolutiva realizada, plano de resposta institucional definido e encerramento formal documentado com lições aprendidas."
42,M003,Instalação Interativa,Passo 1,Objetivo e hipótese de mudança,"A Instalação Interativa começa pela definição do objetivo do experimento e da hipótese de mudança. Essa etapa existe para evitar uma instalação bem feita, mas que não gera evidência útil.

Defina qual percepção ou comportamento você quer observar e, simultaneamente, influenciar.  

Se a hipótese estiver genérica, reescreva em formato testável. Se você não consegue dizer como vai observar a mudança, ajuste nesta fase, antes de desenhar categorias e materiais.


Exemplo alinhado ao caso: 
avaliar e reduzir a crença de que pagamento informal ou presentes ajudam a conseguir um melhor atendimento no sistema de saúde pública.","Objetivo, hipótese, critérios de sucesso e limites do experimento definidos e registrados."
43,M003,Instalação Interativa,Passo 2,Alinhamento institucional e responsabilidades,"A instalação interativa precisa estar presente no espaço físico no qual o serviço auditado é prestado. 

Isso significa que, para a aplicação desse método, é essencial que sejam firmadas parcerias e formalizadas as expectativas com os terceiros que irão receber a instalação. 
Alinhe com a gestão parceira e defina responsabilidades em uma lista simples. Para isso, faça as seguintes perguntas:

- quem autoriza, quem abre e fecha o espaço?
-  quem repõe materiais?
-  quem coleta os registros?
- quem consolida a base?
- quem valida os achados?
- quem conduz a devolutiva? 

Se não houver compromisso de cooperação nas operações acima, não avance para a fase pública. Registre esse risco e volte para novos alinhamentos, ou para o primeiro passo.","Responsabilidades definidas, autorização do piloto obtida e condições mínimas de operação acordadas."
44,M003,Instalação Interativa,Passo 3,Plano de Voluntários,"Defina como pessoas voluntárias serão aplicadas e se/o porquê isso é necessário.

Defina o papel do voluntário em linguagem simples: 
- orientar o uso do mecanismo 
- manter fluxo rápido
- repor material
- registrar ocorrências e encaminhar dúvidas para a equipe responsável. 

Defina também o que o voluntário não faz: 
não promete mudança, não resolve a reclamação na hora, não coleta dado pessoal e não discute os conflito no local.

Se houver risco de indução de resposta por parte da pessoa voluntária, aplique um roteiro curto e neutro e proíba qualquer frase do tipo “coloque aqui porque é melhor”.
 
Nota de Atenção: 
Considere o público historicamente vulnerabilizado ou barreiras de linguagem: planeje voluntários com apoio de acessibilidade e linguagem simples.","Plano de voluntários definido, com papéis, limites, roteiro neutro e forma de supervisão e escalonamento acordadas."
45,M003,Instalação Interativa,Passo 4,Desenho do mecanismo de feedback,"Desenhe o mecanismo de feedback para ser rápido e simples. Essa etapa existe para aumentar participação e reduzir abandono.

Defina e formalize o fluxo em poucos passos: pegar as fichas, escolher categorias, depositar e finalizar. Se quiser comentário, ofereça como opção separada, para não travar quem só quer registrar a avaliação.

Se o fluxo exigir cadastro, texto longo ou etapas demais, simplifique. A lógica do caso é permitir avaliar sem precisar escrever.

Exemplo: 
Pacientes na sala de espera de uma UBS recebem cinco emojis, representando uma escala de satisfação com o tempo de espera na triagem, e as distribuem entre categorias visíveis na instalação, com opção de comentário escrito em caixa separada.
",Fluxo de participação definido e mecanismo físico descrito com passos claros e canal opcional de comentário.
46,M003,Instalação Interativa,Passo 5,"Categorias, linguagem e instruções","Defina categorias de avaliação em linguagem simples e com quantidade limitada. Essa etapa existe para garantir que o dado seja comparável e interpretável. 

Exemplo de categorização adequada no contexto de saúde pública: 
- tempo de espera; 
- explicação de procedimentos; 
- atenção e acolhimento; 

Exemplo de categorização inadequada no contexto de saúde pública:
- capacidade operacional (terminologia desnecessariamente rebuscada);
- satisfação (categoria excessivamente genérica) 


Escreva instruções curtas, visíveis e autoexplicativas. 

Nota de Atenção: 
Se as pessoas perguntarem a mesma coisa repetidamente, isso é sinal de que a instrução não está compreensível. Ajuste texto e categorias e registre a mudança.

",Taxonomia de categorias definida e instruções prontas para uso no local.
47,M003,Instalação Interativa,Passo 6,Privacidade e governança do registro,"Estabeleça as regras de privacidade e governança antes de coletar. Essa etapa existe para evitar exposição indevida e para manter rastreabilidade do que foi coletado.  É recomendada a participação da unidade jurídica, de conformidade ou de governança digital. 

Regra prática: 
Não peça nome, documento ou contato para participar do mecanismo principal. Para comentários escritos, não estimule identificação e planeje como tratar texto que cite pessoas ou detalhes sensíveis.

Se aparecer dado indevido em comentário, aplique regra de ocultação e registre que houve tratamento por privacidade. 
","Protocolo de privacidade e governança definido, com regras de tratamento para comentários e incidentes."
48,M003,Instalação Interativa,Passo 7,Protótipo e teste no local,"Prototipe e teste no próprio ambiente onde a instalação vai funcionar. Essa etapa existe para verificar o entedimento, tempo de interação e fluxo do espaço. Teste com usuários reais do serviço, em dia e horário normais. Observe se a pessoa entende sem explicação longa e quanto tempo leva para concluir.

Se o usuário tiver dificuldade, simplifique texto, reduza opções e reorganize o posicionamento da instalação. Registre os ajustes antes do piloto.","Protótipo testado no local, problemas identificados e ajustes priorizados registrados."
49,M003,Instalação Interativa,Passo 8,Preparação operacional e treinamento de mediadores,"Prepare o espaço, os materiais e a rotina diária. Essa etapa existe para manter o piloto funcionando sem improviso.

Treine voluntários e equipe com três itens obrigatórios: 

- Roteiro neutro de convite. 
Exemplo: ""Olá. Se você quiser, pode deixar uma avaliação rápida da sua visita de hoje. Se quiser, pode escrever um comentário também. Pegue estas cinco fichas e coloque nas categorias que melhor descrevem sua experiência. Leva menos de um minuto.""

- Regra de não indução e regra de privacidade: 
Exemplo: ""Eu não posso sugerir onde você deve colocar as fichas e não vou comentar sua avaliação. Se você escrever um comentário, não coloque nome de pessoas, telefone, número de documento, placa, nem detalhes que identifiquem alguém. Escreva só o que aconteceu e como isso afetou sua experiência.""

- Use um treinamento curto e repetível, com prática rápida: 
uma pessoa simula usuário, outra simula voluntário por 2-3 minutos, depois trocam. No final, chequem se o voluntário falou exatamente o roteiro e não fez perguntas que induzam resposta.

Se o ambiente tiver pico de movimento, ajuste a mediação para ser ainda mais curta e mantenha o comentário escrito como opcional.","Checklist operacional concluído, mediadores treinados e cronograma de turnos definido."
50,M003,Instalação Interativa,Passo 9 ,Implementação do piloto,"Coloque a instalação em funcionamento por um período definido. Essa etapa existe para gerar volume de dados e observar funcionamento real. No caso, a instalação funcionou diariamente por dois meses na sala de espera.

Durante o piloto, acompanhe os seguintes sinais básicos: 
- adesão diária;
-  reposição de materiais; 
- incidentes e dúvidas frequentes.

Se a adesão cair, ajuste visibilidade e convite ativo. Se a instalação atrapalhar o fluxo do local, reposicione.","Piloto operando no local durante o período definido, com registro de ocorrências e acompanhamento de adesão."
51,M003,Instalação Interativa,Passo 10,Coleta e consolidação dos dados,"Transforme a participação física em base simples. Essa etapa existe para permitir análise. O caso referência, do Vitamin Lab, relata milhares de avaliações e comentários escritos, o que exige rotina de contagem e registro.

Defina um processo fixo: horário de coleta, forma de contagem por categoria, planilha padrão por dia e armazenamento seguro dos comentários.

Se houver registros inválidos, marque como inválido e registre a regra aplicada. Se mudar alguma regra durante o piloto, registre data e motivo.","Base consolidada por período e categoria, com comentários organizados e regras de tratamento registradas."
52,M003,Instalação Interativa,Passo 11,Análise e síntese interpretativa,"Produza síntese curta com padrões e limites. Essa etapa existe para separar sinal de ruído e transformar a escuta em achados verificáveis, úteis para recomendações e interlocução com os atores responsáveis.
Estruture a síntese em blocos, sempre mostrando de onde veio a evidência. Primeiro, descreva o que foi mais avaliado, usando contagens simples e comparáveis. 

Para avaliar mudanças de comportamento: 
Descreva o que mudou nos indicadores, comparando antes e depois quando houver essa medição. Terceiro, descreva limites que podem afetar a leitura do resultado.",Evidências avaliativas registradas com comparação antes e depois e apoio de métodos complementares.
